,requests,requests_duration_mean,num_pods,pod_cpu_limit,node_cores,node_mem,pod_mem_limit,pod_util_cpu_avg,pod_util_mem_avg,total_cpu_util,total_mem_util
0,13.0,128.577375,2,0.5,4.0,15.674213409423828,0.48828125,0.45,0.08070945739746094,0.9,0.16141891479492188
1,44.0,16.81688693181818,1,1.0,1.0,1.9559326171875,1.9559326171875,0.003,0.026790618896484375,0.003,0.026790618896484375
2,45.0,15.507511555555558,1,1.0,4.0,15.674213409423828,0.9765625,0.004,0.02121734619140625,0.004,0.02121734619140625
3,45.0,16.453178800000007,2,1.0,4.0,15.674213409423828,0.9765625,0.0015,0.019330978393554688,0.003,0.038661956787109375
4,47.0,39.39440961702128,1,0.1,2.0,3.8617095947265625,0.09765625,0.002,0.022220611572265625,0.002,0.022220611572265625
5,47.0,18.539948914893614,2,0.5,2.0,7.799198150634766,0.48828125,0.001,0.018445968627929688,0.002,0.036891937255859375
6,47.0,84.94094378723405,2,0.1,1.0,0.9715576171875,0.09765625,0.002,0.019666671752929688,0.004,0.039333343505859375
7,48.0,36.15603741666666,3,0.1,2.0,3.8617095947265625,0.09765625,0.0006666666666666668,0.015977223714192707,0.002,0.047931671142578125
8,50.0,73.41982215999998,2,0.1,1.0,1.9559326171875,0.09765625,0.0005,0.018316268920898438,0.001,0.036632537841796875
9,50.0,15.888381699999995,2,1.0,4.0,15.674213409423828,1.953125,0.001,0.017667770385742188,0.002,0.035335540771484375
10,51.0,22.616747333333333,1,0.2,1.0,1.9559326171875,0.1953125,0.001,0.0177459716796875,0.001,0.0177459716796875
11,51.0,39.13523837254903,1,0.1,4.0,15.674213409423828,0.09765625,0.002,0.02231597900390625,0.002,0.02231597900390625
12,56.0,16.793658464285713,1,0.2,2.0,7.799198150634766,0.1953125,0.003,0.020801544189453125,0.003,0.020801544189453125
13,61.0,17.298295245901638,3,1.0,4.0,15.674213409423828,1.953125,0.0006666666666666666,0.0161590576171875,0.002,0.0484771728515625
14,64.0,17.7221968125,1,1.0,1.0,0.4793853759765625,0.4793853759765625,0.003,0.030792236328125,0.003,0.030792236328125
15,69.0,28.795753724637677,2,0.5,2.0,7.799198150634766,0.48828125,0.002,0.018667221069335938,0.004,0.037334442138671875
16,76.0,88.43281368421054,2,0.1,2.0,3.8617095947265625,0.09765625,0.0015,0.017808914184570312,0.003,0.035617828369140625
17,79.0,24.402996658227845,1,0.2,1.0,1.9559326171875,0.1953125,0.005000000000000001,0.02539825439453125,0.005000000000000001,0.02539825439453125
18,80.0,81.56426253749999,1,0.1,1.0,1.9559326171875,0.09765625,0.006,0.03005218505859375,0.006,0.03005218505859375
19,80.0,21.928362012499996,2,0.2,4.0,15.674213409423828,0.1953125,0.0025000000000000005,0.021129608154296875,0.005000000000000001,0.04225921630859375
20,81.0,55.7981185185185,2,0.1,4.0,15.674213409423828,0.09765625,0.0025000000000000005,0.021669387817382816,0.005000000000000001,0.04333877563476563
21,81.0,25.10600845679012,1,0.2,2.0,3.8617095947265625,0.1953125,0.007000000000000001,0.021595001220703125,0.007000000000000001,0.021595001220703125
22,82.0,16.759464475609757,1,1.0,1.0,0.9715576171875,0.9715576171875,0.005,0.025264739990234375,0.005,0.025264739990234375
23,84.0,26.08489273809524,2,0.2,2.0,7.799198150634766,0.1953125,0.003,0.02010345458984375,0.006,0.0402069091796875
24,85.0,56.826941305882364,3,0.1,4.0,15.674213409423828,0.09765625,0.0013333333333333335,0.016878763834635418,0.004,0.05063629150390625
25,92.0,21.052608760869564,3,0.2,2.0,7.799198150634766,0.1953125,0.0013333333333333335,0.017321268717447918,0.004,0.05196380615234375
26,92.0,16.55449101086957,1,2.0,4.0,15.674213409423828,7.8125,0.003,0.02251434326171875,0.003,0.02251434326171875
27,92.0,21.052608760869564,3,0.2,2.0,7.799198150634766,0.1953125,0.0013333333333333335,0.017321268717447918,0.004,0.05196380615234375
28,93.0,16.475220602150536,1,2.0,2.0,7.799198150634766,7.799198150634766,0.006,0.02222442626953125,0.006,0.02222442626953125
29,100.0,25.54637975,3,0.2,2.0,3.8617095947265625,0.1953125,0.0023333333333333335,0.01888275146484375,0.007000000000000001,0.05664825439453125
30,113.0,77.34628113274339,5,0.1,4.0,15.674213409423828,0.09765625,0.0012000000000000001,0.017907714843750002,0.006,0.08953857421875001
31,125.0,16.341962232,1,2.0,2.0,3.8617095947265625,3.8617095947265625,0.007,0.03078460693359375,0.007,0.03078460693359375
